,year,title,plot
9619,1921,Orphans of the Storm,"the epic tale of two step - sisters ,  henriette and louise girard ,  caught up in the storm of the french revolution .  louise ,  the child of an aristocrat ,  was abandoned on the cathedral steps where henriette ' s father found her and took her home to raise as their own .  after louise goes blind ,  henriette takes her to paris where she hopes her sight can be restored .  they are separated however ,  with louise taken in by an old hag who forces her to beg on the street .  henriette has met the handsome chevalier de vaudrey who ,  although an aristocrat ,  is kind and cares about his fellow man .  with the advent of the revolution ,  both henriette and de vaudrey are sentenced to the guillotine and it left to danton to plead their case ."
9633,1937,Black Legion,"frank taylor is an average hard - working joe in a machine shop with ambitions to become foreman .  when the job opens ,  it is given to joe dombrowski ,  a polish - american immigrant who spends his free time reading technical books on the workings of a drill press rather than socializing with other workers .  frank becomes disgruntled and is easily recruited by a co - worker to join the black legion ,  a secretive hate group similar to the ku klux klan ,  which appeals to the xenophobic fears of its members and uses violence to intimidate foreign - born americans .  when frank and other black - hooded legionaires burn out dombrowski ' s chicken farm ,  the frightened family leaves town ,  opening up the foreman ' s job again .  when legion business begins to occupy more and more of frank ' s time and energy both in the factory and at night ,  it soon costs him his job and ultimately his marriage as it leads him toward tragedy ."
9637,1946,Shock,"in san francisco ,  mrs .  janet stewart checks in a hotel late night to meet her husband lieutenant paul stewart .  however paul does not arrive and janet goes to the balcony in the middle of the night after a nightmare .  she witnesses the renowned psychiatrist dr .  richard cross asking for the divorce to his wife and having an argument with her .  out of the blue ,  dr .  cross kills her with a candlestick and janet has a nervous collapse and stays catatonic in shock in her room .  when paul arrives and sees his wife ,  he summons dr .  stevens .  after the examination ,  dr .  stevens tells that janet has had a psychological breakdown and recommends dr .  cross to treat her .  when dr .  cross comes to the room ,  he realizes that janet might have seen him and he tells that she needs to be interned in his clinic .  he calls nurse elaine jordan ,  who is his lover ,  and they take janet to their clinic .  he decides to make janet forget the incident but then they decide to discredit her proclaiming janet insane .  but when the district attorney o ' neill asks for the authorization to dr .  cross to carry out an autopsy in his wife since he believes that she might have been murdered ,  elaine tells that dr .  cross must kill janet ."
9638,1984,Ninja III: The Domination,"the body of a sexy aerobics instructor is invaded by the evil spirit of a dying ninja .  at first ,  changes in her behavior is limited to having strange interactions with an arcade game ,  doing sexy things with v N  juice ,  and being attracted to an unusually hairy police officer .  but soon enough ,  she ' s systematically killing ,  ninja - style ,  the officers responsible for the ninja ' s death ,  and can only be stopped by another ninja !"
9639,1949,The Set-Up,"over - the - hill boxer bill  ' stoker '  thompson insists he can still win ,  though his sexy wife julie pleads with him to quit .  but his manager tiny is so confident he will lose ,  he takes money for a  "" dive ""  from tough gambler little boy .  .  . without bothering to tell stoker .  tension builds as stoker hopes to  "" take ""  tiger nelson ,  unaware of what will happen to him if he does ."
9643,1950,Armored Car Robbery,"dave purvis has pulled off an armored - car robbery with engineering precision ,  and has a few details to tend to before boarding a chartered airplane to take him to a life of ease and comfort ;  first he shoots a wounded gang - member ,  whose wife he is bedding ,  tosses another one to the police and betrays a third and is nearly home free .  however ,  los angeles police lieutenant jim cordell ,  using his brain and playing hunches ,  and making use of the police department ' s scientific network of laboratory ,  switchboard ,  radio - patrol cars ,  wire - tapping and recording devices is closing fast ."
9645,1961,The Absent Minded Professor,"ned brainard is a science teacher at a college who ' s obsessed with his experiments that he forgets other things like his weddings to his girlfriend ,  betsy .  he misses the latest one when his latest experiment blows up .  and he discovers a substance that defies gravity ,  which he says is flying rubber which he calls flubber .  he then places it in a model t which enables it to fly .  alonzo hawk ,  a banker who ' s upset with brainard for failing his son in his class making him ineligible to play in a big basketball game .  when the team is losing ,  he places flubber in sneakers which allows the players to make high leaps .  eventually hawk sees brainard flying in his model t ,  he then asks him for the secret so he can make a fortune from it .  but brainard decides to give it to the government instead .  so hawk decides to steal the car .  so brainard has to try to get it back ."
9647,1970,The Molly Maguires,"a terrorist group known as the molly maguires has been sabotaging a coal mine in pennsylvania where they in fact work .  detective mcparlan as mckenna must infiltrate the group led by john kehoe .  throughout the film mcparlan ' s allegiances are tested .  will he side with the maguires and become a true member ,  or keep his mission in mind and bring an end to the group ?"
9650,2005,9,a rag doll fights a monster that has been stealing the souls of his people .
9651,1978,Convoy,"while driving through the arizona desert ,  albuquerque based independent trucker martin penwald  -  who goes by the handle  "" rubber duck ""   -  along with his fellow truckers  "" pig pen ""  and  "" spider mike ""  ,  are entrapped by unscrupulous sheriff lyle  "" cottonmouth ""  wallace using a key tool of the trucker ' s trade ,  the citizens '  band  ( cb )  radio .  rubber duck and cottonmouth have a long ,  antagonistic history .  when this encounter later escalates into a more physical one as cottonmouth threatens spider mike ,  a man who just wants to get home to his pregnant wife ,  rubber duck and other the truckers involved ,  including spider mike ,  pig pen and  "" widow woman ""  ,  go on the run ,  figuring the best thing to do being to head to new mexico to avoid prosecution .  along for the ride is melissa ,  a beautiful photographer who just wanted a ride to the airport .  as news of what happened spreads over the cb airwaves ,  other truckers join their convoy as a show of support .  cottonmouth rallies other law enforcement officers throughout the southwest ,  they who soon learn that stopping rubber duck ,  the face of the now highly public standoff ,  is not as easy as shooting him and the truck due to his highly explosive cargo .  as the standoff escalates ,  new mexico governor jerry haskins joins the fray ,  he who sees the strong public support for the truckers being something on which he can capitalize politically ."
9653,1988,1969,"two friends ,  ralph and scott live in a small minded town at the onset of wide public dissatisfaction with the vietnam war .  while scott ' s brother enlists ,  he and ralph are outspoken in their opposition to the war .  scott ' s attitude alienates him from his father and he and ralph leave town to enjoy their  ' freedom '  .  various events lead them back to town where they learn of the death of the brother .  this event proves to be the catalyst needed to bridge the gap between father and son and enlightens them both to the true cost of war ."
9655,2010,Tabloid,a documentary on a former miss wyoming who is charged with abducting and imprisoning a young mormon missionary .
9660,1995,The Hunted,"paul is on one of his many business trips to tokyo ,  as a computer - chip executive from new york ,  when he meets a beautiful and mysterious woman .  later ,  he finds himself in the wrong place at the wrong time ,  inadvertently interrupting an assassination by a feared ninja - cult .  as he is now the only man to have seen the face of the cult ' s warrior - leader and lived ,  he soon realizes that he is facing a markedly foreshortened life - expectancy .  teaming up with a friendly samurai couple ,  on a two - centuries - old blood - feud with the ninja ,  he struggles to survive .  finally ,  recuperating on an island - fortress ,  he learns swordsmanship ,  and perhaps ,  a little about courage ,  honor ,  love ,  and loyalty .  the requisite final confrontation is rife with bloody swordplay and spectacular martial - arts action sequences ."
9662,2010,My Soul to Take,"in the sleepy town of riverton ,  legend tells of a serial killer who swore he would return to murder the seven children born the night he died .  now ,   N  years later ,  people are disappearing again .  has the psychopath been reincarnated as one of the seven teens ,  or did he survive the night he was left for dead ?  only one of the kids knows the answer .  adam  "" bug ""  heller  ( max thieriot )  was supposed to die on the last night the riverton ripper wrecked havoc on that terrifying night .  unaware of terrifying crimes being committed to the seven children ,  he has been plagued by nightmares of their murders while not aware if they hold true or if he is simply imagining the images that haunt him .  but if bug hopes to save his friends from the monster that ' s returned ,  he must face an evil that won ' t rest .  .  . until it finishes the job it began the day he was born ."
9663,1995,Carnosaur 2,a team of scientists go to a nuclear mining facility to investigate a possible meltdown and instead find a large amount of cloned dinosaurs .
9665,1934,Maniac,"don maxwell is an ex - vaudeville ham ,  wanted by police ,  who has now found himself as the unlikely assistant to dr .  meirschultz ,  a mad scientist in the business of reanimating corpses .  maxwell ' s gift of impersonation gets him and meirschultz past the guards and into a morgue where they use a special serum to revive the corpse of a pretty young woman .  but that ' s nothing .  dr .  meirschultz has a heart beating in a jar of solution and is eager to put it into a corpse that really needs it .  meirschultz gives his assistant a gun and advises him to commit suicide ,  so that he can put the heart in him ,  but maxwell shoots and kills the scientist instead and hides the body .  people will miss meirschultz ,  maxwell quickly realizes ,  but no one will miss his lowly assistant ;  and so maxwell dons eyeglasses and a fake beard to become his onetime benefactor .  the trouble is ,  he impersonates the mad doctor too well and goes crazy himself ."
9670,1951,Westward the Women,"in a time when  "" the west ""  pretty much ends in texas and only california is slowly being populated by the white men ,  there ' s a severe lack of women among the workers on roy whitman ' s farm in the california valley .  so he goes back east to chicago to recruit  N  women willing to become wives for his employees .  from the candidates he selects  N  who seem able to survive a months long journey across  "" the great american desert ""  and the rocky mountains ."
9674,1948,Moonrise,danny hawkins has been tortured his entire life because he is the son of a killer who was hanged .  in a state of insanity danny kills jerry sykes .  when the body is discovered danny flees from his true love gilly johnson and the law but is able to reach salvation by coming to grips with his identity and by turning himself in to the police .
9676,2010,Lemmy,a documentary on the life and career of revered heavy - metal musician lemmy kilmister .
9685,2006,The Covenant,"to the students of the spenser academy ,  the sons of ipswich are the baddest boys on campus .  but that ' s not all they share .  the four friends also share a  N  - year - old secret :  they ' re warlocks ,  the teenage descendants of a  N th - century coven of witches .  so when the long - banished fifth son suddenly appears and threatens to kill their loved ones ,  they realize they must face their enemy in order to prevent him from stealing their powers and shattering the covenant forever ."
9686,2013,Love and Honor,"when a young soldier in vietnam gets dumped by his hometown girl ,  he and his best friend decide to go awol and return to the states to win her back ."
9687,2014,The Cobbler,max is a normal cobbler fixing people ' s shoes but when his stitcher breaks he has to use his dad ' s old one .  soon he realizes that with his dad ' s stitcher he can turn into the person who the shoes belong too but this quickly launches him into a giant adventure trying to figure out who leon ludlow really is and what is happening to the shops in the city .  enjoy this funny at some parts emotional at others and overall fun movie .
9689,2011,The Green Hornet,"when news magnate james reid dies ,  his son britt and chauffeur kato ,  resentful of reid ' s slights ,  vandalize a graveyard statue .  by chance ,  they also rescue a couple from thugs ,  but tv reports the vandalism ,  not the heroism .  britt ,  thinking he ' s a genius while relying on kato ' s mechanical and kung - fu skills ,  decides to be a superhero ,  the green hornet ,  and use his father ' s paper to play up the bad - guy elements .  the reporting on the hornet upsets la ' s da ,  who ' s up for reelection ,  and the city ' s real crime boss ,  chudnofsky .  plus ,  how long will kato suffer in silence ,  when he has all the skill ?  competition for the affection of britt ' s assistant ,  lenore ,  brings things to a head ."
9691,1970,The Owl and the Pussycat,"mild mannered felix sherman is a struggling novelist who has to work as a bookstore clerk to make ends meet .  doris wilgis is brash ,  in - your - face and uneducated prostitute .  although they have not met ,  they have an antagonistic relationship from afar as they live in the same new york city apartment building ,  his continual typing which bothers her ,  her professional work and her complaints about the typing which bother him .  they do eventually meet when each is directly the reason why the other is evicted from the building in the middle of the night .  despite their continued antagonism after meeting ,  they spend time together if only because of their shared homelessness .  despite still being bothered by certain aspects of the other ,  especially those unfamiliar to their own sensibilities ,  they begin to have a mutual attraction based on their opposite personalities .  he is attracted to her innate openness .  she is attracted to his intellectualism .  can their budding relationship survive their differences ,  especially when it comes to their sexual history and felix being already engaged ?"
9692,2004,Cube Zero,a young man whose job is to watch over the cube endeavours to rescue an innocent woman trapped in one of its rooms .
9693,1997,Office Killer,"when dorine douglas '  job as proofreader for constant consumer magazine is turned into an at - home position during a downsizing ,  she doesn ' t know how to cope ,  but after accidentally killing one of her co - workers ,  she discovers that murder can quench the loneliness of her home life ,  as a macabre office place forms in her basement ,  populated by dead co - workers ."
9698,1957,Jailhouse Rock,"vince everett is serving a one - year jail sentence for manslaughter .  while in the big house ,  his cellmate ,  a former country singer ,  introduces him to the record business .  everett takes to it so well that he decides to become a singer when he gets out .  however ,  he is quickly disillusioned by the record business .  but with the help of a new friend ,  he decides to form his own label ,  and soon becomes an overnight sensation .  but when he becomes a superstar ,  will his desire for fame and money cause him to forget the people who got him there ?"
9703,2013,Hateship Loveship,"johanna parry ,  a quiet caregiver ,  starts a new job working for an elderly mr .  mccauley and his teenage granddaughter sabitha .  a cruel trick by sabitha lands johanna in an awkward one - way relationship with ken ,  sabitha ' s estranged father but her newfound ambition and desire gives her courage to transform her awkward doom into real contentment ."
9708,2002,The Third Wheel,"the clumsy and shy stanley is a nice fellow ,  beloved by his colleagues in the office .  he has a crush on the gorgeous new - hire diana ,  but he has difficulties to get close to her .  when stanley finally invites diana for a date ,  he hits the homeless phil with his taurus and his planned night turns upside down ."
9719,2012,Deadfall,"after a heist of a casino ,  the criminal addison and his sister liza are on the run to canada with their driver / accomplice theo .  out of the blue ,  theo hits a deer and loses control of the car that leaves the road and overturns .  theo dies and addison kills a patrolman that comes to help them .  then he splits the money with liza and tells his sister to get a ride to the border while he will cross the woods .  addison leaves a trail of blood in his runaway .  meanwhile ,  the former boxer jay ,  who was arrested for losing a fight ,  is released from prison on probation and calls his mother june mills that lives in an isolated house with his estranged father chet mills that was the former sheriff .  june invites her son for the thanksgiving dinner ,  but he goes first to the gym to collect money that his couch owes him .  they quarrel and jay hits him and believes that has killed him .  he flees and while driving on the road ,  he sees liza and gives a ride to her .  soon they fall in love with each other .  meanwhile sheriff marshall t .  becker is hunting addison with his men but he does not allow that his daughter ,  deputy hanna to participate in the hunting party .  the thanksgiving will end with all the characters gathering at chet and june ' s home ."
9721,1985,The Black Cauldron,"taran is an assistant pigkeeper with boyish dreams of becoming a great warrior .  however ,  he has to put the daydreaming aside when his charge ,  an oracular pig named hen wen ,  is kidnapped by an evil lord known as the horned king .  the villain hopes hen will show him the way to the black cauldron ,  which has the power to create a giant army of unstoppable soldiers .  with the aid of a stubborn princess ,  an exaggerating bard ,  and a pestering creature called gurgi ,  taran will try to save the world of prydain from the horned king .  as the new friends face witches ,  elves ,  magic swords ,  and the cauldron itself ,  taran starts to learn what being a hero really means and that some things are more important than glory ."
9725,2001,Head Over Heels,"amanda has not had the best luck with men .  recently she went home and found her boyfriend  "" with ""  another woman .  she moves out and moves in with four models ,  who when they are not modeling ,  are partying .  she also bumps into a guy named jim whom she is attracted to but is unwilling to pursue out of fear that he will either dump her for someone better or has some quirk .  and it doesn ' t help that his apartment is right across from her and she spends her time staring at him .  when he asks her out ,  she decides to take a chance but one night while watching him she sees him kill someone .  she then calls the police who cannot find anything .  she decides to follow him to find out what he did with the body ."
9729,1948,Louisiana Story,"the story follows the everyday life of a young backwoods louisiana lad and his pet raccoon .  the boy spends most of his time fishing ,  hunting or exploring the area where he lives with his parents .  he becomes fascinated when an oil rig arrives in the area .  the rig workers are friendly and don ' t mind the the boy is poking his nose in here and there .  in fact they seem to enjoy a bit of company .  things get exciting for everyone when the well blows ."
9733,1944,Tall in the Saddle,"an experienced ranch hand ,  rocklin ,  arrives in town expecting to start a new job only to find that his prospective employer was shot dead a few weeks before .  also arriving at the same time is a pretty young woman ,  clara cardell ,  who is about to inherit her uncle ' s ranch and her domineering aunt ,  elizabeth martin .  rocklin no sooner arrives than he has a run - in with arly harolday ,  owner of a neighboring ranch ,  a woman who can ride and shoot as well as he does .  rocklin finds that he ' s not very welcome in town and finds that there are plans to swindle clara out of her inheritance .  there ' s also an attempt to frame him for murder ."
9737,1989,"I, Madman","in los angeles ,  the librarian and aspiring actress virginia works in a bookstore of used books with her friend mona and her boyfriend is the police detective richard .  virginia is reading an horror book called  "" i ,  madman ""  written by malcolm brand and is impressed with the creepy story of dr .  alan kessler ,  a deranged doctor that takes pieces of his victims .  soon virginia realizes that the book is non - fictional and everything that she read really happens .  she tries to warn richard ,  but his superiors believe that virginia is nutty .  but she is frightened since dr .  kessler ' s next victim is her ."
9738,1998,Snake Eyes,"ricky santoro is a flamboyant and corrupt atlantic city cop with a dream :  become so well connected that he can become mayor .  in lieu of that ,  he ' ll settle for keeping his comfortable lifestyle .  on the night of the heavyweight boxing championship ,  rick becomes mixed up in the assassination of the secretary of defense ,  an assassination involving his best friend .  becoming the investigating officer in the case ,  rick soon uncovers a conspiracy to kill the secretary and a mysterious woman in white .  the conspiracy was shocking ,  but not half as shocking as the identity of its mastermind ."
9739,1979,Starting Over,"burt reynolds is an attractive middle - aged man who suffers a crisis of confidence when ditched by his ambitious singer wife  ( candice bergen )  ,  until he begins to forge a new new relationship with an equally insecure teacher  ( jill clayburgh )  .  but when the wife attempts a reconciliation  -  seduction followed by a truly excruciating song she has composed for him  -  he realizes where his loyalty lies ."
9741,1946,Duel in the Sun,"when her father is hanged for shooting his wife and her lover ,  half - breed pearl chavez goes to live with distant relatives in texas .  welcomed by laura belle and her elder lawyer son jesse ,  she meets with hostility from the ranch - owner himself ,  wheelchair - bound senator jackson mccanles ,  and with lustful interest from womanising ,  unruly younger son lewt .  almost at once ,  already existing family tensions are exacerbated by her presence and the way she is physically drawn to lewt ."
9745,2010,Dylan Dog: Dead of Night,"the adventures of supernatural private investigator ,  dylan dog ,  who seeks out the monsters of the louisiana bayou in his signature red shirt ,  black jacket ,  and blue jeans ."
9747,1987,Gardens of Stone,"in the late  N s ,  during the vietnam war ,  the idealistic soldier jackie willow arrives at fort meyer expecting to go to the academy and then to the vietnam war .  jackie is the son of a veteran sergeant and soon he becomes the protégé of the former friends of his father ,  sergeant clell hazard and sergeant major  ' goody '  nelson .  jackie is promoted and gets married with his childhood friend rachel feld ,  to recommend jackie to the academy .  he is promoted to lieutenant and asks to go to the vietnam ,  returning to the arlington national cemetery ."
9750,1990,Yume,"this is essentially eight separate short films ,  though with some overlaps in terms of characters and thematic material  -  chiefly that of man ' s relationship with his environment .   ' sunshine through the rain '  :  a young boy is told not to go out on the day when both weather conditions occur ,  because that ' s when the foxes hold their wedding procession ,  which could have fatal consequences for those who witness it .   ' the peach orchard '  :  the same young boy encounters the spirits of the peach trees that have been cut down by heartless humans .   ' the blizzard '  :  a team of mountaineers are saved from a blizzard by spiritual intervention .   ' the tunnel '  :  a man encounters the ghosts of an army platoon ,  whose deaths he was responsible for .   ' crows '  :  an art student encounters  ' vincent van gogh '  and enters the world of his paintings .   ' mount fuji in red '  :  nuclear meltdown threatens the devastation of japan .   ' the weeping demon '  :  a portrait of a post - nuclear world populated by human mutations .   ' village of the watermills '  :  a sunny portrait of a village whose population is entirely at one with nature ."
9752,1940,Fantasia,"an innovative and revolutionary animated classic from walt disney ,  combining western classical music masterpieces with imaginative visuals ,  presented with leopold stokowski and the philadelphia orchestra .  the eight animation sequences are colorful ,  impressive ,  free - flowing ,  abstract ,  and often surrealistic pieces .  they include the most famous of all ,  paul dukas ' s  "" the sorcerer ' s apprentice ""  with mickey mouse as the title character battling brooms carrying endless buckets of water .  also included are j . s .  bach ' s  "" toccata and fugue in d minor ""  ;  tchaikovsky ' s  "" nutcracker suite ""  ;  dinosaurs and volcanoes in stravinsky ' s  "" rite of spring ""  ;  the delightful  "" dance of the hours ""  by ponchielli with dancing hippos ,  crocodiles ,  ostriches ,  and elephants ;  and mussorgsky ' s darkly apocalyptic  "" night on bald mountain .  """
9754,2010,Prince of Persia: The Sands of Time,"in persia ,  in the royal city of nasaf ,  the fair king sharaman rules the empire with his brother nizan .  sharaman has two sons ,  but adopts the orphan dastan that becomes part of his family .  years later ,  the holy city of alamut ruled by princess tamina is under siege of the troops led by tus ,  garsiv and dastan ,  after their uncle nizan had intercepted a spy carrying weapons for alamut .  dastan invades the city with his men to avoid a massacre and the persian army conquers the city .  dastan gets a dagger from an enemy and king sharaman comes to almut very upset with the invasion of the holy city .  then he arranges the marriage of dastan with princess tamina .  when dastan gives a holy cloak delivered by tus to his father ,  the mantle is poisoned and kills sharaman .  dastan is accused of betrayal but he escapes with princess ttamina .  sooner he finds that the dagger is a powerful device to travel and change time and that tus is not the traitor and he engages with tamina in a quest for justice ."
9760,1998,The Odd Couple II,"it has been seventeen years now since oscar and felix saw each other for the last time .  oscar is living in florida ,  felix in new york .  one day ,  oscar is called by his son brucey who invites him to his wedding to felix '  daughter hannah next sunday in california .  oscar and felix meet again at los angeles international airport and take a rental car in order to go to san malina for the wedding .  the trip develops into an odyssey ,  starting with oscar forgetting felix '  suitcase at the budget station ,  going over to the complete loss of the directions  ( and the car )  ,  several difficulties with the police ,  a dead person ,  a toupee ,  underwear and revenge - hungry cowboys and ending up with felix meeting the  "" one and only ""  woman .  but the wedding has to be reached on time ."
9762,1981,Blow Out,"this stylish brian de palma thriller plays off the theme of the unsuspecting witness who discovers a crime and is thereby put in grave danger ,  but with a novel twist .  jack terry is a master sound recordist who works on grade - b horror movies .  late one evening ,  he is recording sounds for use in his movies when he hears something unexpected through his sound equipment and records it .  curiosity gets the better of him when the media become involved ,  and he begins to unravel the pieces of a nefarious conspiracy .  as he struggles to survive against his shadowy enemies and expose the truth ,  he does not know whom he can trust ."
9765,1986,The Great Mouse Detective,"in victorian london ,  england ,  a little mouse girl ' s toymaker father is abducted by a peglegged bat .  she enlists the aid of basil of baker street ,  the rodent world ' s answer to sherlock holmes .  the case expands as basil uncovers the crime ' s link to a plot against the crown itself ."
9766,2011,The Resident,"in new york ,  dr .  juliet bliss devereau of the brooklyn general hospital has ended her relationship with her boyfriend jack and is seeking an apartment in brooklyn to live alone .  she finds a bargain in an old apartment building owned by the handsome and lonely max and one night she misinterprets his signals and dates him .  however she concludes that it is too soon to have a love affair .  .  .  but is that really the end of it ?"
9772,2014,By the Gun,"nick tortano is a smooth - talking ,  ambitious criminal from the streets of boston .  after years spent working for and idolizing the italian gangsters he finally proves himself to the boss and becomes a made man .  however ,  once inside ,  nick conflicts with a moneymaker for the mafia and begins to drive a wedge between him and boss ."
9778,1979,Apocalypse Now,"it is the height of the war in vietnam ,  and u . s .  army captain willard is sent by colonel lucas and a general to carry out a mission that ,  officially ,   ' does not exist  -  nor will it ever exist '  .  the mission :  to seek out a mysterious green beret colonel ,  walter kurtz ,  whose army has crossed the border into cambodia and is conducting hit - and - run missions against the viet cong and nva .  the army believes kurtz has gone completely insane and willard ' s job is to eliminate him !  willard ,  sent up the nung river on a u . s .  navy patrol boat ,  discovers that his target is one of the most decorated officers in the u . s .  army .  his crew meets up with surfer - type lt - colonel kilgore ,  head of a u . s army helicopter cavalry group which eliminates a viet cong outpost to provide an entry point into the nung river .  after some hair - raising encounters ,  in which some of his crew are killed ,  willard ,  lance and chef reach colonel kurtz ' s outpost ,  beyond the do lung bridge .  now ,  after becoming prisoners of kurtz ,  will willard & the others be able to fulfill their mission ?"
9786,2003,Party Monster,"set in the new york club scene of the late  N  ' s thru the  N  ' s ,  a tale which is based on the rise and fall of club - kid promoter"
9788,1998,The Man in the Iron Mask,"in  N  queen anne of france gives birth to a boy ,  who will inherit the throne one day .  but ,  only known to few ,  there is a twin brother born minutes later .   N  years later ,  king louis xiv rules the country of france ,  but due to his lifestyle and the costs of war ,  people are forced to suffer hunger and poverty .  of the musketeers ,  who had served his father louis xiii faithfully ,  only one is still on the king ' s side :  d ' artagnan ,  the capitain of the king ' s guards .  his three companions aramis ,  athos and porthos have retired into civil life long ago .  one day on a royal party ,  the young and unliked king gets a crush on christine .  this young lady is the fiancé of soldier raoul ,  the son of athos .  without further ado ,  the king has raoul recruited and sent to war ,  so that he himself can take care of her .  soon raoul dies in combat and the king has him out of the way .  but athos ,  aramis and porthos think of a plan to take revenge on the king .  aramis points out that there is a man in an iron mask in a very secure prison ,  and that this man ' s existance can solve all present problems .  so they free the king ' s hidden twin brother ,  and tell him who he is ,  as he of course feels free of guilt and has no idea whatsoever why he was imprisoned for  N  years with this mask forged around his head .  the plan now is to replace the evil king with his brother at a masquerade party held soon .  only d ' artagnan still is guarding the king and so he has to turn against his old friends .  .  ."
9789,2004,Nyfes,"in  N  ,  with the greco - turkish war and the russia civil war ,  the women from these countries find husband in the united states through correspondence with immigrants .  the bride eleni returns from the united states to samothrace ,  greece ,  since she has not adapted to the life in america .  her sister niki douka is assigned as her replacement and travels aboard the ss king alexander to new york to marry the greek immigrant prodromos in chicago .  nikki is a hard worker and works sewing along the trip for the passengers and crew .  she becomes a leader of the brides and discovers the scheme of the crook karabulat from georgia with the russian brides .  she also falls in love with the american photographer norman harris from detroit .  but nikki is committed with prodromos and she knows the consequence with her family in samothrace if she runs away with norman ."
9795,1973,Pat Garrett & Billy the Kid,"when pat garrett is about to become the local sheriff ,  he visits his old friend william bonney ,  aka billy the kid ,  giving him one week to leave the area .  when he fails to do so ,  he ' s arrested and will soon hang .  billy manages to escape however and garrett sets off after him .  the governor and business interests make it clear that billy is a hindrance and want him brought in .  as they both travel the countryside a great deal of blood is spilled before they meet for one final time ."
9796,1988,Friday the 13th Part VII: The New Blood,"tina shepard is a special girl .  she has the gift of telekinesis  ( which allows her to manipulate objects by thought )  .  but her gift is also a curse ,  mainly because she caused the death of her father on the docks of camp crystal lake .  now ,  tina has returned home with her caring mother and her conniving doctor ,  who wants to exploit tina ' s powers and become famous .  but the teenage residents of camp crystal lake have something more to fear than tina ' s powers as she accidentally frees jason voorhees from his watery grave .  and jason is really in the mood for a good old teenage massacre ."
9798,1936,My Man Godfrey,"in new york post - great depression ,  the spoiled socialites irene bullock and her sister cornelia bullock are disputing a scavenger hunt where the winner is the one who brings a  "" forgotten man ""  first .  they go to the city dump and cornelia offers five dollars to the derelict godfrey smith to go with her and her companion to the wardolf hotel .  the man pushes her in the garbage and cornelia leaves the landfill with her companion .  however ,  irene talks to godfrey that she wanted to beat cornelia to it and he accepts to go with her to win the prize .  irene offers the position of butler to godfrey and tells her parents alexander and angelica bullock that she has hired godfrey to work for their dysfunctional family in their mansion .  irene has a crush on godfrey and protects him while cornelia hates him and wants to harm him .  during a party in the bullock ' s house ,  the harvard graduated investor tommy gray recognizes godfrey and salutes him .  but the butler asks him to keep the secret of his past and schedules an encounter in the restaurant to explain what is happening ."
9811,2001,Jimmy Neutron: Boy Genius,"jimmy neutron is a boy genius and way ahead of his friends ,  but when it comes to being cool ,  he ' s a little behind .  all until one day when his parents ,  and parents all over earth are kidnapped by aliens ,  it ' s up to him to lead all the children of the world to rescue their parents ."
9812,1965,Voyage to the Prehistoric Planet,"in  N  ,  after the colonization of the moon ,  the spaceships vega ,  sirius and capella are launched from lunar station  N  .  they are to explore venus under the command of professor hartman ,  but an asteroid collides and explodes capella .  the leader ship vega stays orbiting and sends the astronauts kern and sherman with the robot john to the surface of venus ,  but they have problems with communication with dr .  marsha evans in vega .  the sirius lands in venus and commander brendan lockhart ,  andre ferneau and hans walter explore the planet and are attacked by prehistoric animals .  they use a vehicle to seek kern and sherman while collecting samples from the planet .  meanwhile john helps the two cosmonauts to survive in the hostile land ."
9817,1971,Diamonds Are Forever,"when bond investigates mysterious activities in the world diamond market ,  he discovers that the evil ernst blofeld is stockpiling the precious gems to use in a deadly laser satellite capable of destroying massive targets on land ,  sea and air .  bond ,  with the help of beautiful smuggler tiffany case ,  sets out to stop the madman ,  but first he must grapple with a host of enemies .  he confronts offbeat assassins mr .  wint and mr .  kidd ,  as well as bambi and thumper -  - two scantily - clad beauties who are more than a match for bond in hand - to - hand combat !  finally ,  there ' s the reclusive billionaire willard whyte ,  who may just hold a vital clue to blofeld ' s whereabouts ."
9819,1987,Radio Days,"several generations of a family packed into a pre - war rockaway house always have the radio on .  the fearless masked avenger ,  breakfast - show socialites  ( and philanderers )  roger and irene ,  and sally the cigarette girl are almost important as ,  say ,  whether the pacific is a better ocean than the atlantic ,  or even what your dad actually does for a living ."
9823,2014,Dinosaur 13,"when paleontologist peter larson and his team from the black hills institute of geological research made the world ' s greatest dinosaur discovery in  N  ,  they knew it was the find of a lifetime ;  the largest ,  most complete t .  rex ever found .  but during a ten - year battle with the u . s .  government ,  powerful museums ,  native american tribes ,  and competing paleontologists ,  they found themselves not only fighting to keep their dinosaur but fighting for their freedom as well ."
9827,1998,Edge of Seventeen,"a gay teen finds out who he is and what he wants ,  who his friends are ,  and who loves him ,  in this autobiographical tale set in middle america in the  N s .  growing up ,  learning about life ,  love ,  sex ,  friends ,  and lovers ."
9828,1994,The Search for One-eye Jimmy,"while working on a documentary on his old neighborhood ,  a young film school graduate shifts the focus of his production onto the disappearance of a local resident and the strange characters who are conducting the search to find him ."
